more_info,is_dress,is_mini
"Modern and streamlined, this dress offers the polish of leather, with the comfort and interest of textured panels in a soft wool blend. Fitted through the top and easy through the hips, this dress goes to work and out for drinks. Pair  with peep-toe booties for a nine-to-nine look.",True,True
"A feminine black dress made from delicate embroidered tulle. A faux crop bodice defines the waist and is paired with a full skirt and hidden back zipper.
~
L1454-M
Dry Clean Only
",True,True
"Printed all over with licorice stripes, this sweet monochrome dress is the easy option for busy days. Wear it from work to the weekend, accessorising with sharp metallic slides or strappy sandals and a crossbody bag. 

DESCRIPTION 

- Horizontally striped fit and flare dress 
- High neckline 
- Sleeveless 
- Exposed centre back zip with ruch detail at back of neck 
- Dart detail at skirt 
- US size 6 length is 89cm 

Our model is 5ft 10.5"" and is wearing a US size 6. 

Style code - 71dad 


MATERIAL & CARE 

- Machine wash cold 
- 61% Viscose 34% Polyester 3% Polyamide 2% Elastane 

French Connection does not ship to Puerto Rico",True,True
Our popular Zarita lace is now in a wrap style. True wrap with self tie belt. Scalloped lace detail at hem. Fully lined in jersey. 3/4 sleeve. Falls to above the knee. True to size.  Fabric: 70% Triacetate 30% Polyester,True,True
"Patterned to look like animal print, the lace inserts on this simple LBD pep-it up for the new season. Long sleeves and the knee-hitting length tempers the fitted cut of this Animal Lace Jersey Dress. 

DESCRIPTION 

- Stretch-jersey dress 
- Long sleeves 
- Boat neck 
- Lace panels 
- Exposed zip fastening at back 
- US size 6 length is 92.5cm 

Our model is 5ft 9"" and is wearing a US size 6. 

Style code - 71ehf 


SIZING & CARE 

- 88% Viscose 10% Polyester 2% Elastane",True,True
"Contrast prints cast an eye-catching graphic effect on this ladylike knit dress. 

- Roundneck
- Sleeveless
- Banded waist
- Pullover
- A-line shape
- About 32"" from shoulder to hem
- Cotton
- Machine wash
- Imported

",True,True
"Make a splash in our Record Ripple Dress. Covered from skirt to neckline in our exclusive record ripple print, this is one showstopping dress that will seamlessly take you from desk to drinks. Cut a fine figure by teaming it with leg-elongating heels. 

DESCRIPTION 

- Cotton dress with stretch 
- Abstract record ripple print throughout 
- V-neck 
- Sleeveless 
- Fitted waist 
- One size up 
- Back zip fastening with discreet hook 
- US size 6 length is 87.7cm 

Our model is 5ft 9.5"" and is wearing a US size 6. 

Style code - 71eyu 


SIZING & CARE 

- Machine wash cold 
- Wash and dry inside out 
- Iron on reverse side 
- Wash with similar colours 
- 95% Cotton 5% Elastane",True,True
"
- Chic, flared shift with vibrant clashing prints
- Round neckline
- Three-quarter sleeves
- Engineered border at sleeve, hem and back
- Concealed back zip closure
- Lined
- About 20"" from natural waist
- Polyester/spandex
- Machine wash
- Imported
- Model shown is 5'10"" (177cm) wearing US size Small.

",True,True
"Details:
A charming V neck mini dress in floral lace. Solid piping defines the waist. Hidden back zipper and double-hook closure at the open back. Sleeveless. Lined.

Fabric: Corded Lace.
Cotton/nylon.
Dry clean.

How It Fits:
Length: 34.5in / 87.5cm, from shoulder to hem

Model is in a size 2. 
Model is 5’ 9”, bust 34""/ 86 cm, waist 23”/ 59 cm, hips 34”/ 86 cm.",True,True
"This piece is unisex. Sizes are in US men's sizing. This season, fall’s most delicious looks have us feeling fresh—fresh as juice, to be exact. Inspired by liquid lunches, Opening Ceremony reimagined the produce stand to create the unisex jersey capsule. With grocery-standard barcodes and OC-embroidered “fruit stickers,” the collection of softwear, knits, and varsity jackets will boost any getup. Cut extra long with and printed with OC's fresh barcode design, this long-sleeve tee has a whole lot of look without the fuss. Includes OC logos down the sleeves so you can rep now and layer later. 100% Cotton | Made in China                  (SKU: 10207081 | GID: 93569)",True,True
